SRN,marks,course,session_no
1018,64,Moral Science,2022
1018,100,History,2022
1018,62,Library,2022
1018,88,Music,2022
1018,40,Mathematics,2022
1018,17,Civics,2022
1018,100,Physics,2022
1018,61,Sports,2022
1019,37,Moral Science,2022
1019,88,History,2022
1019,45,Library,2022
1019,28,Music,2022
1019,63,Mathematics,2022
1019,22,Civics,2022
1019,21,Physics,2022
1019,6,Sports,2022
1020,86,Moral Science,2022
1020,94,History,2022
1020,2,Library,2022
1020,30,Music,2022
1020,63,Mathematics,2022
1020,58,Civics,2022
1020,40,Physics,2022
1020,58,Sports,2022
1021,80,General Knowledge,2022
1021,98,computer,2022
1021,100,Music,2022
1021,11,Mathematics,2022
1021,24,English,2022
1021,89,Physics,2022
1021,77,Sports,2022
1021,68,Art,2022
1022,41,General Knowledge,2022
1022,13,computer,2022
1022,69,Music,2022
1022,58,Mathematics,2022
1022,94,English,2022
1022,51,Physics,2022
1022,83,Sports,2022
1022,74,Art,2022
1023,60,General Knowledge,2022
1023,42,computer,2022
1023,51,Music,2022
1023,77,Mathematics,2022
1023,82,English,2022
1023,47,Physics,2022
1023,63,Sports,2022
1023,58,Art,2022
1024,85,General Knowledge,2022
1024,18,computer,2022
1024,45,Music,2022
1024,22,Mathematics,2022
1024,90,English,2022
1024,22,Physics,2022
1024,93,Sports,2022
1024,97,Art,2022
1025,90,General Knowledge,2022
1025,71,computer,2022
1025,96,Music,2022
1025,77,Mathematics,2022
1025,67,English,2022
1025,20,Physics,2022
1025,60,Sports,2022
1025,97,Art,2022
1026,59,General Knowledge,2022
1026,8,computer,2022
1026,13,Music,2022
1026,56,Mathematics,2022
1026,91,English,2022
1026,43,Physics,2022
1026,86,Sports,2022
1026,19,Art,2022
1027,67,General Knowledge,2022
1027,40,computer,2022
1027,19,Music,2022
1027,75,Mathematics,2022
1027,66,English,2022
1027,14,Physics,2022
1027,1,Sports,2022
1027,51,Art,2022
1028,51,General Knowledge,2022
1028,76,computer,2022
1028,22,Music,2022
1028,38,Mathematics,2022
1028,42,English,2022
1028,18,Physics,2022
1028,50,Sports,2022
1028,7,Art,2022
1029,21,General Knowledge,2022
1029,43,computer,2022
1029,47,Music,2022
1029,37,Mathematics,2022
1029,63,English,2022
1029,4,Physics,2022
1029,83,Sports,2022
1029,90,Art,2022
1030,83,General Knowledge,2022
1030,52,computer,2022
1030,61,Music,2022
1030,17,Mathematics,2022
1030,69,English,2022
1030,11,Physics,2022
1030,85,Sports,2022
1030,89,Art,2022
1031,18,General Knowledge,2022
1031,80,computer,2022
1031,41,Music,2022
1031,51,Mathematics,2022
1031,64,English,2022
1031,88,Physics,2022
1031,60,Sports,2022
1031,85,Art,2022
1032,23,General Knowledge,2022
1032,80,computer,2022
1032,75,Music,2022
1032,19,Mathematics,2022
1032,44,English,2022
1032,67,Physics,2022
1032,74,Sports,2022
1032,52,Art,2022
1033,61,General Knowledge,2022
1033,67,computer,2022
1033,7,Music,2022
1033,59,Mathematics,2022
1033,94,English,2022
1033,53,Physics,2022
1033,40,Sports,2022
1033,70,Art,2022
1034,19,General Knowledge,2022
1034,39,computer,2022
1034,81,Music,2022
1034,49,Mathematics,2022
1034,55,English,2022
1034,78,Physics,2022
1034,72,Sports,2022
1034,65,Art,2022
1035,93,General Knowledge,2022
1035,33,computer,2022
1035,82,Music,2022
1035,54,Mathematics,2022
1035,90,English,2022
1035,61,Physics,2022
1035,76,Sports,2022
1035,11,Art,2022
1036,87,General Knowledge,2022
1036,70,computer,2022
1036,76,Music,2022
1036,59,Mathematics,2022
1036,85,English,2022
1036,88,Physics,2022
1036,57,Sports,2022
1036,31,Art,2022
1037,76,General Knowledge,2022
1037,60,computer,2022
1037,77,Music,2022
1037,89,Mathematics,2022
1037,80,English,2022
1037,62,Physics,2022
1037,34,Sports,2022
1037,46,Art,2022
1038,57,General Knowledge,2022
1038,96,computer,2022
1038,57,Music,2022
1038,100,Mathematics,2022
1038,27,English,2022
1038,81,Physics,2022
1038,30,Sports,2022
1038,98,Art,2022
1039,53,General Knowledge,2022
1039,42,computer,2022
1039,58,Music,2022
1039,82,Mathematics,2022
1039,0,English,2022
1039,57,Physics,2022
1039,84,Sports,2022
1039,54,Art,2022
1040,37,General Knowledge,2022
1040,36,computer,2022
1040,68,Music,2022
1040,80,Mathematics,2022
1040,23,English,2022
1040,66,Physics,2022
1040,35,Sports,2022
1040,12,Art,2022
1041,28,Dance,2022
1041,53,Biology,2022
1041,94,General Knowledge,2022
1041,49,Geography,2022
1041,4,Library,2022
1041,25,Civics,2022
1041,62,English,2022
1041,40,Hindi,2022
1042,37,Dance,2022
1042,6,Biology,2022
1042,12,General Knowledge,2022
1042,72,Geography,2022
1042,29,Library,2022
1042,90,Civics,2022
1042,37,English,2022
1042,93,Hindi,2022
1043,62,Dance,2022
1043,70,Biology,2022
1043,59,General Knowledge,2022
1043,44,Geography,2022
1043,86,Library,2022
1043,22,Civics,2022
1043,71,English,2022
1043,39,Hindi,2022
1044,98,Dance,2022
1044,51,Biology,2022
1044,91,General Knowledge,2022
1044,97,Geography,2022
1044,54,Library,2022
1044,16,Civics,2022
1044,82,English,2022
1044,63,Hindi,2022
1045,95,Dance,2022
1045,12,Biology,2022
1045,93,General Knowledge,2022
1045,56,Geography,2022
1045,47,Library,2022
1045,26,Civics,2022
1045,95,English,2022
1045,52,Hindi,2022
1046,49,Dance,2022
1046,82,Biology,2022
1046,87,General Knowledge,2022
1046,35,Geography,2022
1046,50,Library,2022
1046,21,Civics,2022
1046,95,English,2022
1046,89,Hindi,2022
1047,69,Dance,2022
1047,71,Biology,2022
1047,57,General Knowledge,2022
1047,98,Geography,2022
1047,99,Library,2022
1047,38,Civics,2022
1047,16,English,2022
1047,37,Hindi,2022
1048,52,Dance,2022
1048,42,Biology,2022
1048,42,General Knowledge,2022
1048,17,Geography,2022
1048,94,Library,2022
1048,56,Civics,2022
1048,78,English,2022
1048,12,Hindi,2022
1049,58,Dance,2022
1049,8,Biology,2022
1049,67,General Knowledge,2022
1049,60,Geography,2022
1049,65,Library,2022
1049,93,Civics,2022
1049,66,English,2022
1049,78,Hindi,2022
1050,96,Dance,2022
1050,48,Biology,2022
1050,30,General Knowledge,2022
1050,64,Geography,2022
1050,78,Library,2022
1050,66,Civics,2022
1050,34,English,2022
1050,78,Hindi,2022
1051,94,Dance,2022
1051,66,Biology,2022
1051,74,General Knowledge,2022
1051,84,Geography,2022
1051,86,Library,2022
1051,62,Civics,2022
1051,46,English,2022
1051,53,Hindi,2022
1052,70,Dance,2022
1052,63,Biology,2022
1052,37,General Knowledge,2022
1052,49,Geography,2022
1052,72,Library,2022
1052,37,Civics,2022
1052,35,English,2022
1052,59,Hindi,2022
1053,86,Dance,2022
1053,100,Biology,2022
1053,56,General Knowledge,2022
1053,81,Geography,2022
1053,59,Library,2022
1053,8,Civics,2022
1053,12,English,2022
1053,41,Hindi,2022
1054,62,Dance,2022
1054,23,Biology,2022
1054,49,General Knowledge,2022
1054,95,Geography,2022
1054,68,Library,2022
1054,59,Civics,2022
1054,31,English,2022
1054,8,Hindi,2022
1055,53,Dance,2022
1055,74,Biology,2022
1055,69,General Knowledge,2022
1055,97,Geography,2022
1055,37,Library,2022
1055,39,Civics,2022
1055,92,English,2022
1055,15,Hindi,2022
1056,51,Dance,2022
1056,83,Biology,2022
1056,61,General Knowledge,2022
1056,88,Geography,2022
1056,60,Library,2022
1056,67,Civics,2022
1056,93,English,2022
1056,83,Hindi,2022
1057,92,Dance,2022
1057,93,Biology,2022
1057,37,General Knowledge,2022
1057,50,Geography,2022
1057,24,Library,2022
1057,50,Civics,2022
1057,94,English,2022
1057,74,Hindi,2022
1058,76,Dance,2022
1058,5,Biology,2022
1058,53,General Knowledge,2022
1058,23,Geography,2022
1058,0,Library,2022
1058,52,Civics,2022
1058,3,English,2022
1058,81,Hindi,2022
1059,66,Dance,2022
1059,45,Biology,2022
1059,7,General Knowledge,2022
1059,47,Geography,2022
1059,32,Library,2022
1059,81,Civics,2022
1059,9,English,2022
1059,95,Hindi,2022
1060,74,Dance,2022
1060,90,Biology,2022
1060,59,General Knowledge,2022
1060,47,Geography,2022
1060,50,Library,2022
1060,53,Civics,2022
1060,40,English,2022
1060,64,Hindi,2022
1061,99,Biology,2022
1061,72,Music,2022
1061,82,Mathematics,2022
1061,25,Civics,2022
1061,39,English,2022
1061,39,Physics,2022
1061,75,Hindi,2022
1061,10,Art,2022
1061,54,Moral Science,2021
1061,36,History,2021
1061,39,Library,2021
1061,28,Music,2021
1061,80,Mathematics,2021
1061,5,Civics,2021
1061,71,Physics,2021
1061,32,Sports,2021
1062,71,Biology,2022
1062,54,Music,2022
1062,57,Mathematics,2022
1062,59,Civics,2022
1062,0,English,2022
1062,94,Physics,2022
1062,55,Hindi,2022
1062,0,Art,2022
1062,93,Moral Science,2021
1062,53,History,2021
1062,62,Library,2021
1062,21,Music,2021
1062,79,Mathematics,2021
1062,13,Civics,2021
1062,7,Physics,2021
1062,2,Sports,2021
1063,20,Biology,2022
1063,96,Music,2022
1063,74,Mathematics,2022
1063,26,Civics,2022
1063,95,English,2022
1063,38,Physics,2022
1063,75,Hindi,2022
1063,76,Art,2022
1063,49,Moral Science,2021
1063,92,History,2021
1063,51,Library,2021
1063,24,Music,2021
1063,77,Mathematics,2021
1063,5,Civics,2021
1063,65,Physics,2021
1063,33,Sports,2021
1064,69,Biology,2022
1064,89,Music,2022
1064,22,Mathematics,2022
1064,88,Civics,2022
1064,100,English,2022
1064,82,Physics,2022
1064,33,Hindi,2022
1064,70,Art,2022
1064,65,Moral Science,2021
1064,11,History,2021
1064,40,Library,2021
1064,87,Music,2021
1064,33,Mathematics,2021
1064,93,Civics,2021
1064,82,Physics,2021
1064,21,Sports,2021
1065,92,Biology,2022
1065,61,Music,2022
1065,36,Mathematics,2022
1065,39,Civics,2022
1065,97,English,2022
1065,5,Physics,2022
1065,68,Hindi,2022
1065,38,Art,2022
1065,78,Moral Science,2021
1065,80,History,2021
1065,75,Library,2021
1065,45,Music,2021
1065,48,Mathematics,2021
1065,21,Civics,2021
1065,43,Physics,2021
1065,22,Sports,2021
1066,47,Biology,2022
1066,50,Music,2022
1066,87,Mathematics,2022
1066,56,Civics,2022
1066,87,English,2022
1066,55,Physics,2022
1066,25,Hindi,2022
1066,45,Art,2022
1066,56,Moral Science,2021
1066,93,History,2021
1066,23,Library,2021
1066,37,Music,2021
1066,53,Mathematics,2021
1066,36,Civics,2021
1066,5,Physics,2021
1066,69,Sports,2021
1067,95,Biology,2022
1067,46,Music,2022
1067,58,Mathematics,2022
1067,14,Civics,2022
1067,59,English,2022
1067,31,Physics,2022
1067,63,Hindi,2022
1067,39,Art,2022
1067,76,Moral Science,2021
1067,77,History,2021
1067,77,Library,2021
1067,26,Music,2021
1067,29,Mathematics,2021
1067,55,Civics,2021
1067,54,Physics,2021
1067,39,Sports,2021
1068,78,Biology,2022
1068,72,Music,2022
1068,38,Mathematics,2022
1068,44,Civics,2022
1068,28,English,2022
1068,41,Physics,2022
1068,51,Hindi,2022
1068,61,Art,2022
1068,95,Moral Science,2021
1068,51,History,2021
1068,39,Library,2021
1068,57,Music,2021
1068,41,Mathematics,2021
1068,63,Civics,2021
1068,13,Physics,2021
1068,50,Sports,2021
1069,39,Biology,2022
1069,70,Music,2022
1069,56,Mathematics,2022
1069,69,Civics,2022
1069,64,English,2022
1069,94,Physics,2022
1069,54,Hindi,2022
1069,97,Art,2022
1069,41,Moral Science,2021
1069,14,History,2021
1069,98,Library,2021
1069,96,Music,2021
1069,32,Mathematics,2021
1069,30,Civics,2021
1069,91,Physics,2021
1069,18,Sports,2021
1070,41,Biology,2022
1070,70,Music,2022
1070,100,Mathematics,2022
1070,45,Civics,2022
1070,54,English,2022
1070,58,Physics,2022
1070,9,Hindi,2022
1070,75,Art,2022
1070,32,Moral Science,2021
1070,58,History,2021
1070,55,Library,2021
1070,23,Music,2021
1070,28,Mathematics,2021
1070,41,Civics,2021
1070,74,Physics,2021
1070,78,Sports,2021
1071,75,Biology,2022
1071,94,Music,2022
1071,62,Mathematics,2022
1071,35,Civics,2022
1071,14,English,2022
1071,72,Physics,2022
1071,98,Hindi,2022
1071,10,Art,2022
1071,90,Moral Science,2021
1071,47,History,2021
1071,61,Library,2021
1071,91,Music,2021
1071,82,Mathematics,2021
1071,78,Civics,2021
1071,82,Physics,2021
1071,9,Sports,2021
1072,98,Biology,2022
1072,86,Music,2022
1072,64,Mathematics,2022
1072,80,Civics,2022
1072,61,English,2022
1072,31,Physics,2022
1072,54,Hindi,2022
1072,20,Art,2022
1072,99,Moral Science,2021
1072,68,History,2021
1072,61,Library,2021
1072,45,Music,2021
1072,47,Mathematics,2021
1072,57,Civics,2021
1072,90,Physics,2021
1072,69,Sports,2021
1073,78,Biology,2022
1073,79,Music,2022
1073,93,Mathematics,2022
1073,11,Civics,2022
1073,62,English,2022
1073,32,Physics,2022
1073,83,Hindi,2022
1073,17,Art,2022
1073,55,Moral Science,2021
1073,71,History,2021
1073,43,Library,2021
1073,46,Music,2021
1073,80,Mathematics,2021
1073,92,Civics,2021
1073,35,Physics,2021
1073,55,Sports,2021
1074,69,Biology,2022
1074,52,Music,2022
1074,74,Mathematics,2022
1074,27,Civics,2022
1074,70,English,2022
1074,66,Physics,2022
1074,33,Hindi,2022
1074,57,Art,2022
1074,50,Moral Science,2021
1074,91,History,2021
1074,83,Library,2021
1074,53,Music,2021
1074,33,Mathematics,2021
1074,97,Civics,2021
1074,17,Physics,2021
1074,27,Sports,2021
1075,65,Biology,2022
1075,46,Music,2022
1075,99,Mathematics,2022
1075,30,Civics,2022
1075,82,English,2022
1075,69,Physics,2022
1075,36,Hindi,2022
1075,71,Art,2022
1075,90,Moral Science,2021
1075,50,History,2021
1075,81,Library,2021
1075,5,Music,2021
1075,84,Mathematics,2021
1075,48,Civics,2021
1075,17,Physics,2021
1075,91,Sports,2021
1076,21,Biology,2022
1076,91,Music,2022
1076,34,Mathematics,2022
1076,71,Civics,2022
1076,47,English,2022
1076,22,Physics,2022
1076,90,Hindi,2022
1076,22,Art,2022
1076,97,Moral Science,2021
1076,83,History,2021
1076,91,Library,2021
1076,70,Music,2021
1076,68,Mathematics,2021
1076,2,Civics,2021
1076,81,Physics,2021
1076,50,Sports,2021
1077,21,Biology,2022
1077,40,Music,2022
1077,52,Mathematics,2022
1077,15,Civics,2022
1077,36,English,2022
1077,43,Physics,2022
1077,52,Hindi,2022
1077,87,Art,2022
1077,41,Moral Science,2021
1077,60,History,2021
1077,26,Library,2021
1077,72,Music,2021
1077,75,Mathematics,2021
1077,22,Civics,2021
1077,21,Physics,2021
1077,45,Sports,2021
1078,75,Biology,2022
1078,78,Music,2022
1078,57,Mathematics,2022
1078,99,Civics,2022
1078,40,English,2022
1078,84,Physics,2022
1078,64,Hindi,2022
1078,39,Art,2022
1078,46,Moral Science,2021
1078,59,History,2021
1078,59,Library,2021
1078,49,Music,2021
1078,49,Mathematics,2021
1078,58,Civics,2021
1078,86,Physics,2021
1078,44,Sports,2021
1079,25,Biology,2022
1079,99,Music,2022
1079,63,Mathematics,2022
1079,66,Civics,2022
1079,3,English,2022
1079,91,Physics,2022
1079,55,Hindi,2022
1079,95,Art,2022
1079,83,Moral Science,2021
1079,86,History,2021
1079,26,Library,2021
1079,68,Music,2021
1079,21,Mathematics,2021
1079,78,Civics,2021
1079,92,Physics,2021
1079,33,Sports,2021
1080,73,Biology,2022
1080,85,Music,2022
1080,73,Mathematics,2022
1080,55,Civics,2022
1080,4,English,2022
1080,70,Physics,2022
1080,90,Hindi,2022
1080,53,Art,2022
1080,92,Moral Science,2021
1080,21,History,2021
1080,11,Library,2021
1080,90,Music,2021
1080,93,Mathematics,2021
1080,59,Civics,2021
1080,6,Physics,2021
1080,68,Sports,2021
1081,24,General Knowledge,2022
1081,74,Dance,2022
1081,35,History,2022
1081,89,computer,2022
1081,32,Library,2022
1081,70,Physics,2022
1081,25,Hindi,2022
1081,72,Art,2022
1081,40,General Knowledge,2021
1081,73,computer,2021
1081,92,Music,2021
1081,27,Mathematics,2021
1081,95,English,2021
1081,64,Physics,2021
1081,74,Sports,2021
1081,98,Art,2021
1082,37,General Knowledge,2022
1082,97,Dance,2022
1082,96,History,2022
1082,79,computer,2022
1082,42,Library,2022
1082,67,Physics,2022
1082,49,Hindi,2022
1082,3,Art,2022
1082,87,General Knowledge,2021
1082,9,computer,2021
1082,7,Music,2021
1082,43,Mathematics,2021
1082,64,English,2021
1082,22,Physics,2021
1082,31,Sports,2021
1082,74,Art,2021
1083,76,General Knowledge,2022
1083,87,Dance,2022
1083,90,History,2022
1083,39,computer,2022
1083,21,Library,2022
1083,40,Physics,2022
1083,47,Hindi,2022
1083,61,Art,2022
1083,91,General Knowledge,2021
1083,56,computer,2021
1083,37,Music,2021
1083,28,Mathematics,2021
1083,99,English,2021
1083,52,Physics,2021
1083,70,Sports,2021
1083,72,Art,2021
1084,64,General Knowledge,2022
1084,10,Dance,2022
1084,50,History,2022
1084,97,computer,2022
1084,78,Library,2022
1084,72,Physics,2022
1084,34,Hindi,2022
1084,27,Art,2022
1084,45,General Knowledge,2021
1084,48,computer,2021
1084,77,Music,2021
1084,80,Mathematics,2021
1084,3,English,2021
1084,18,Physics,2021
1084,53,Sports,2021
1084,54,Art,2021
1085,49,General Knowledge,2022
1085,83,Dance,2022
1085,32,History,2022
1085,25,computer,2022
1085,97,Library,2022
1085,6,Physics,2022
1085,29,Hindi,2022
1085,24,Art,2022
1085,17,General Knowledge,2021
1085,77,computer,2021
1085,65,Music,2021
1085,68,Mathematics,2021
1085,63,English,2021
1085,77,Physics,2021
1085,95,Sports,2021
1085,57,Art,2021
1086,54,General Knowledge,2022
1086,80,Dance,2022
1086,72,History,2022
1086,27,computer,2022
1086,71,Library,2022
1086,93,Physics,2022
1086,3,Hindi,2022
1086,83,Art,2022
1086,93,General Knowledge,2021
1086,52,computer,2021
1086,63,Music,2021
1086,59,Mathematics,2021
1086,20,English,2021
1086,16,Physics,2021
1086,86,Sports,2021
1086,91,Art,2021
1087,36,General Knowledge,2022
1087,79,Dance,2022
1087,60,History,2022
1087,35,computer,2022
1087,92,Library,2022
1087,62,Physics,2022
1087,40,Hindi,2022
1087,51,Art,2022
1087,51,General Knowledge,2021
1087,81,computer,2021
1087,99,Music,2021
1087,98,Mathematics,2021
1087,76,English,2021
1087,48,Physics,2021
1087,54,Sports,2021
1087,85,Art,2021
1088,21,General Knowledge,2022
1088,11,Dance,2022
1088,97,History,2022
1088,64,computer,2022
1088,25,Library,2022
1088,91,Physics,2022
1088,70,Hindi,2022
1088,66,Art,2022
1088,75,General Knowledge,2021
1088,63,computer,2021
1088,77,Music,2021
1088,94,Mathematics,2021
1088,35,English,2021
1088,71,Physics,2021
1088,50,Sports,2021
1088,46,Art,2021
1089,59,General Knowledge,2022
1089,36,Dance,2022
1089,100,History,2022
1089,20,computer,2022
1089,85,Library,2022
1089,57,Physics,2022
1089,9,Hindi,2022
1089,51,Art,2022
1089,17,General Knowledge,2021
1089,47,computer,2021
1089,45,Music,2021
1089,56,Mathematics,2021
1089,45,English,2021
1089,20,Physics,2021
1089,29,Sports,2021
1089,62,Art,2021
1090,21,General Knowledge,2022
1090,69,Dance,2022
1090,32,History,2022
1090,18,computer,2022
1090,96,Library,2022
1090,25,Physics,2022
1090,55,Hindi,2022
1090,49,Art,2022
1090,27,General Knowledge,2021
1090,74,computer,2021
1090,86,Music,2021
1090,100,Mathematics,2021
1090,49,English,2021
1090,29,Physics,2021
1090,87,Sports,2021
1090,96,Art,2021
1091,84,General Knowledge,2022
1091,100,Dance,2022
1091,78,History,2022
1091,63,computer,2022
1091,92,Library,2022
1091,34,Physics,2022
1091,76,Hindi,2022
1091,94,Art,2022
1091,75,General Knowledge,2021
1091,63,computer,2021
1091,3,Music,2021
1091,48,Mathematics,2021
1091,82,English,2021
1091,63,Physics,2021
1091,86,Sports,2021
1091,79,Art,2021
1092,12,General Knowledge,2022
1092,92,Dance,2022
1092,49,History,2022
1092,49,computer,2022
1092,32,Library,2022
1092,66,Physics,2022
1092,4,Hindi,2022
1092,42,Art,2022
1092,69,General Knowledge,2021
1092,27,computer,2021
1092,14,Music,2021
1092,73,Mathematics,2021
1092,51,English,2021
1092,92,Physics,2021
1092,73,Sports,2021
1092,70,Art,2021
1093,36,General Knowledge,2022
1093,98,Dance,2022
1093,88,History,2022
1093,54,computer,2022
1093,51,Library,2022
1093,79,Physics,2022
1093,70,Hindi,2022
1093,44,Art,2022
1093,44,General Knowledge,2021
1093,90,computer,2021
1093,51,Music,2021
1093,78,Mathematics,2021
1093,88,English,2021
1093,69,Physics,2021
1093,38,Sports,2021
1093,42,Art,2021
1094,7,General Knowledge,2022
1094,86,Dance,2022
1094,50,History,2022
1094,97,computer,2022
1094,97,Library,2022
1094,21,Physics,2022
1094,62,Hindi,2022
1094,90,Art,2022
1094,76,General Knowledge,2021
1094,61,computer,2021
1094,58,Music,2021
1094,25,Mathematics,2021
1094,95,English,2021
1094,95,Physics,2021
1094,9,Sports,2021
1094,32,Art,2021
1095,8,General Knowledge,2022
1095,61,Dance,2022
1095,55,History,2022
1095,9,computer,2022
1095,99,Library,2022
1095,30,Physics,2022
1095,21,Hindi,2022
1095,75,Art,2022
1095,99,General Knowledge,2021
1095,31,computer,2021
1095,40,Music,2021
1095,4,Mathematics,2021
1095,80,English,2021
1095,87,Physics,2021
1095,92,Sports,2021
1095,58,Art,2021
1096,78,General Knowledge,2022
1096,15,Dance,2022
1096,91,History,2022
1096,55,computer,2022
1096,56,Library,2022
1096,68,Physics,2022
1096,77,Hindi,2022
1096,11,Art,2022
1096,87,General Knowledge,2021
1096,24,computer,2021
1096,99,Music,2021
1096,54,Mathematics,2021
1096,26,English,2021
1096,58,Physics,2021
1096,26,Sports,2021
1096,72,Art,2021
1097,70,General Knowledge,2022
1097,28,Dance,2022
1097,55,History,2022
1097,24,computer,2022
1097,65,Library,2022
1097,21,Physics,2022
1097,9,Hindi,2022
1097,68,Art,2022
1097,58,General Knowledge,2021
1097,31,computer,2021
1097,94,Music,2021
1097,92,Mathematics,2021
1097,62,English,2021
1097,31,Physics,2021
1097,29,Sports,2021
1097,99,Art,2021
1098,60,General Knowledge,2022
1098,70,Dance,2022
1098,84,History,2022
1098,86,computer,2022
1098,66,Library,2022
1098,20,Physics,2022
1098,86,Hindi,2022
1098,63,Art,2022
1098,83,General Knowledge,2021
1098,57,computer,2021
1098,94,Music,2021
1098,53,Mathematics,2021
1098,22,English,2021
1098,89,Physics,2021
1098,100,Sports,2021
1098,69,Art,2021
1099,54,General Knowledge,2022
1099,82,Dance,2022
1099,24,History,2022
1099,48,computer,2022
1099,41,Library,2022
1099,33,Physics,2022
1099,67,Hindi,2022
1099,87,Art,2022
1099,6,General Knowledge,2021
1099,10,computer,2021
1099,100,Music,2021
1099,22,Mathematics,2021
1099,76,English,2021
1099,73,Physics,2021
1099,34,Sports,2021
1099,63,Art,2021
1100,50,General Knowledge,2022
1100,10,Dance,2022
1100,26,History,2022
1100,57,computer,2022
1100,96,Library,2022
1100,100,Physics,2022
1100,67,Hindi,2022
1100,98,Art,2022
1100,49,General Knowledge,2021
1100,40,computer,2021
1100,32,Music,2021
1100,24,Mathematics,2021
1100,36,English,2021
1100,13,Physics,2021
1100,94,Sports,2021
1100,87,Art,2021
1101,36,General Knowledge,2022
1101,52,Biology,2022
1101,60,Moral Science,2022
1101,73,Dance,2022
1101,78,History,2022
1101,24,Library,2022
1101,6,Chemistry,2022
1101,78,Physics,2022
1101,56,Dance,2021
1101,25,Biology,2021
1101,73,General Knowledge,2021
1101,38,Geography,2021
1101,49,Library,2021
1101,80,Civics,2021
1101,85,English,2021
1101,93,Hindi,2021
1102,55,General Knowledge,2022
1102,75,Biology,2022
1102,48,Moral Science,2022
1102,39,Dance,2022
1102,60,History,2022
1102,60,Library,2022
1102,83,Chemistry,2022
1102,64,Physics,2022
1102,81,Dance,2021
1102,16,Biology,2021
1102,70,General Knowledge,2021
1102,32,Geography,2021
1102,71,Library,2021
1102,37,Civics,2021
1102,85,English,2021
1102,3,Hindi,2021
1103,93,General Knowledge,2022
1103,87,Biology,2022
1103,100,Moral Science,2022
1103,33,Dance,2022
1103,35,History,2022
1103,94,Library,2022
1103,77,Chemistry,2022
1103,34,Physics,2022
1103,28,Dance,2021
1103,39,Biology,2021
1103,67,General Knowledge,2021
1103,81,Geography,2021
